item	type
A chart of daily cases of COVID-19 in a Russian region looks suspiciously level to me - is this so from the statistics viewpoint?	question
What are the worst (commonly adopted) ideas/principles in statistics?	question
What is the relationship between a chi squared test and test of equal proportions?	question
What are the breakthroughs in Statistics of the past 15 years?	question
Why continue to teach and use hypothesis testing (when confidence intervals are available)?	question
Software needed to scrape data from graph	question
Is chi-squared always a one-sided test?	question
What is so cool about de Finetti&#39;s representation theorem?	question
Box-Cox like transformation for independent variables?	question
R libraries for deep learning	question
Real-life examples of moving average processes	question
Wald test for logistic regression	question
KL divergence between two multivariate Gaussians	question
Perform feature normalization before or within model validation?	question
Are we exaggerating importance of model assumption and evaluation in an era when analyses are often carried out by laymen	question
Why is ANOVA equivalent to linear regression?	question
What are some examples of anachronistic practices in statistics?	question
Binary classification with strongly unbalanced classes	question
How exactly does a &quot;random effects model&quot; in econometrics relate to mixed models outside of econometrics?	question
How do R and Python complement each other in data science?	question
Why is the regularization term *added* to the cost function (instead of multiplied etc.)?	question
Is it wrong to rephrase &quot;1 in 80 deaths is caused by a car accident&quot; as &quot;1 in 80 people die as a result of a car accident?&quot;	question
Mathematical Statistics Videos	question
Clustering with a distance matrix	question
Most famous statisticians	question
Measuring entropy/ information/ patterns of a 2d binary matrix	question
Reference book for linear algebra applied to statistics?	question
How to decide on the correct number of clusters?	question
How to determine best cutoff point and its confidence interval using ROC curve in R?	question
Questions about how random effects are specified in lmer	question
Examples of Bayesian and frequentist approach giving different answers	question
Is every covariance matrix positive definite?	question
What does the inverse of covariance matrix say about data? (Intuitively)	question
Why is logistic regression a linear classifier?	question
What is the best way to remember the difference between sensitivity, specificity, precision, accuracy, and recall?	question
Why do we minimize the negative likelihood if it is equivalent to maximization of the likelihood?	question
How to apply standardization/normalization to train- and testset if prediction is the goal?	question
Adam optimizer with exponential decay	question
Who are frequentists?	question
Why is it that natural log changes are percentage changes? What is about logs that makes this so?	question
Is ridge regression useless in high dimensions ($n \ll p$)? How can OLS fail to overfit?	question
Interview question: If correlation doesn&#39;t imply causation, how do you detect causation?	question
Standard deviation of standard deviation	question
Period detection of a generic time series	question
Best PCA algorithm for huge number of features (&gt;10K)?	question
Is adjusting p-values in a multiple regression for multiple comparisons a good idea?	question
Best practice when analysing pre-post treatment-control designs	question
ANOVA assumption normality/normal distribution of residuals	question
What is the difference between N and N-1 in calculating population variance?	question
Bootstrap vs. jackknife	question
How should one interpret the comparison of means from different sample sizes?	question
Is sampling relevant in the time of &#39;big data&#39;?	question
Multivariate linear regression vs neural network?	question
What does having &quot;constant variance&quot; in a linear regression model mean?	question
Using deep learning for time series prediction	question
What is the difference in Bayesian estimate and maximum likelihood estimate?	question
Clustering with K-Means and EM: how are they related?	question
Is there a difference between &#39;controlling for&#39; and &#39;ignoring&#39; other variables in multiple regression?	question
What is the effect of having correlated predictors in a multiple regression model?	question
What are alternatives of Gradient Descent?	question
How to use Pearson correlation correctly with time series	question
Maximum likelihood method vs. least squares method	question
Intuition on the Kullback-Leibler (KL) Divergence	question
How is it possible that validation loss is increasing while validation accuracy is increasing as well	question
Under what conditions should Likert scales be used as ordinal or interval data?	question
Machine Learning using Python	question
Data APIs/feeds available as packages in R	question
How to interpret type I, type II, and type III ANOVA and MANOVA?	question
Modern successor to Exploratory Data Analysis by Tukey?	question
Does the optimal number of trees in a random forest depend on the number of predictors?	question
How are regression, the t-test, and the ANOVA all versions of the general linear model?	question
How do I test that two continuous variables are independent?	question
Is random forest a boosting algorithm?	question
What are disadvantages of state-space models and Kalman Filter for time-series modelling?	question
Why do we care so much about normally distributed error terms (and homoskedasticity) in linear regression when we don&#39;t have to?	question
Visually interesting statistics concepts that are easy to explain	question
Correct spelling (capitalization, italicization, hyphenation) of &quot;p-value&quot;?	question
Excel as a statistics workbench	question
What is the difference between NaN and NA?	question
How to identify a bimodal distribution?	question
Do we have a problem of &quot;pity upvotes&quot;?	question
What is the difference between estimation and prediction?	question
Effect of switching response and explanatory variable in simple linear regression	question
What is a difference between random effects-, fixed effects- and marginal model?	question
Obtaining predicted values (Y=1 or 0) from a logistic regression model fit	question
Manually Calculating P value from t-value in t-test	question
Linear model with log-transformed response vs. generalized linear model with log link	question
How to interpret F-measure values?	question
What is a contrast matrix?	question
Warning in R - Chi-squared approximation may be incorrect	question
Testing equality of coefficients from two different regressions	question
How to tell the probability of failure if there were no failures?	question
Recurrent vs Recursive Neural Networks: Which is better for NLP?	question
Can a random forest be used for feature selection in multiple linear regression?	question
Understanding the role of the discount factor in reinforcement learning	question
Cumming (2008) claims that distribution of p-values obtained in replications depends only on the original p-value. How can it be true?	question
Recommended books on experiment design?	question
What is the difference between a particle filter (sequential Monte Carlo) and a Kalman filter?	question
What is a good resource on table design?	question
Intuitive explanation of the bias-variance tradeoff?	question
How to calculate pseudo-$R^2$ from R&#39;s logistic regression?	question
Software for drawing bayesian networks (graphical models)	question
How do you calculate the probability density function of the maximum of a sample of IID uniform random variables?	question
Book for reading before Elements of Statistical Learning?	question
What book is recommendable to start learning statistics using R at the same time?	question
Why is expectation the same as the arithmetic mean?	question
Random forest computing time in R	question
Does anyone know any good open source software for visualizing data from database?	question
Variance of product of multiple random variables	question
Graph for relationship between two ordinal variables	question
What is the intuition behind conditional Gaussian distributions?	question
Is it important to scale data before clustering?	question
How large should the batch size be for stochastic gradient descent?	question
Difference between &quot;kernel&quot; and &quot;filter&quot; in CNN	question
Intuitive explanations of differences between Gradient Boosting Trees (GBM) &amp; Adaboost	question
Which activation function for output layer?	question
Famous easy to understand examples of a confounding variable invalidating a study	question
Is the COVID-19 pandemic curve a Gaussian curve?	question
What is a good algorithm for estimating the median of a huge read-once data set?	question
If the t-test and the ANOVA for two groups are equivalent, why aren&#39;t their assumptions equivalent?	question
Is it possible to do time-series clustering based on curve shape?	question
What is the objective function of PCA?	question
How are we defining &#39;reproducible research&#39;?	question
Interpretation of log transformed predictor and/or response	question
Understanding Naive Bayes	question
Regression when the OLS residuals are not normally distributed	question
Normalization vs. scaling	question
Fast linear regression robust to outliers	question
Why does the correlation coefficient between X and X-Y random variables tend to be 0.7	question
Why is a Bayesian not allowed to look at the residuals?	question
A generalization of the Law of Iterated Expectations	question
Why is multicollinearity not checked in modern statistics/machine learning	question
What is translation invariance in computer vision and convolutional neural network?	question
Statistical tests when sample size is 1	question
Statistical inference when the sample &quot;is&quot; the population	question
How to perform a test using R to see if data follows normal distribution	question
Confidence interval for Bernoulli sampling	question
What is Deviance? (specifically in CART/rpart)	question
How to do logistic regression subset selection?	question
Intuition behind why Stein&#39;s paradox only applies in dimensions $\ge 3$	question
How to statistically compare two time series?	question
Most confusing statistical terms	question
Standard error for the mean of a sample of binomial random variables	question
Is Amazon&#39;s &quot;average rating&quot; misleading?	question
Are splines overfitting the data?	question
R - QQPlot: how to see whether data are normally distributed	question
Linear kernel and non-linear kernel for support vector machine?	question
When combining p-values, why not just averaging?	question
Comparing SVM and logistic regression	question
Interpreting QQplot - Is there any rule of thumb to decide for non-normality?	question
Are all models useless? Is any exact model possible -- or useful?	question
Practical hyperparameter optimization: Random vs. grid search	question
Why do Convolutional Neural Networks not use a Support Vector Machine to classify?	question
Difference between Random Forest and Extremely Randomized Trees	question
Difference between GradientDescentOptimizer and AdamOptimizer (TensorFlow)?	question
Is it a good practice to always scale/normalize data for machine learning?	question
Backpropagation with Softmax / Cross Entropy	question
What are the main theorems in Machine (Deep) Learning?	question
What is your favorite data visualization blog?	question
